bridge,documented_root_cause,invariant_id,category,predicate,representative_trace,state_diff,max_state_diff_wei,has_successful_exec_step,R1_TP_or_FP,R2_TP_or_FP,notes
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",asset_conservation_total_balance,asset,totalLockedSource == totalMintedDest - totalFeesCollected,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",asset_conservation_token_balance,asset,MockToken.balanceOf(address(BridgeRouter)) == mintedAmount,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",asset_conservation_no_negative_mint,asset,totalMintedDest >= totalFeesCollected,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",asset_conservation_refund_balance,asset,lockedAmount[depositId] == 0 || MockToken.balanceOf(originalDepositor) >= refundedAmount[depositId],tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",asset_conservation_zero_address_mint,asset,msg.sender == address(ZeroAddress) ? feeMintedOnly : true,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",authorization_replica_caller,authorization,msg.sender == address(Replica),tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",authorization_replica_process_success,authorization,ok == true,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",authorization_message_not_consumed,authorization,!consumedMessage[msgHash],tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",authorization_valid_signature,authorization,verifiedSignature[msgHash] == true,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",authorization_lock_before_mint,authorization,lockExists[originTxHash] == true,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",uniqueness_nonce_processed_once,uniqueness,!processedNonce[nonce],tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",uniqueness_no_duplicate_relay,uniqueness,relayCount[msgHash] == 1,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",uniqueness_hash_consistency,uniqueness,msgHash == keccak256(abi.encodePacked(payload)),tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",timeliness_message_before_timeout,timeliness,block.timestamp <= messageTimestamp[msgHash] + MESSAGE_TIMEOUT,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",timeliness_refund_after_timeout,timeliness,block.timestamp >= lockTimestamp[depositId] + REFUND_TIMEOUT,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",timeliness_refund_not_previously_claimed,timeliness,!refundClaimed[depositId],tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""source_total"": ""11401601396526658946242"", ""dest_total"": ""2011401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",timeliness_stale_message_cleanup,timeliness,block.timestamp > messageTimestamp[msgHash] + MESSAGE_TIMEOUT ? consumedMessage[msgHash] == true : true,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
nomad,"{""upgrade_date"": ""2022-06-21"", ""vulnerable_pattern"": ""initialize() pre-approved committed root by setting confirmAt[_committedRoot] = 1 with _committedRoot=0x00"", ""verification_byp",timeliness_fee_distribution_before_timeout,timeliness,feeDistributed[msgHash] == true || block.timestamp > messageTimestamp[msgHash] + MESSAGE_TIMEOUT,tx:2:Replica:err(execution reverted: 0x):cov=191 | tx:4:BridgeRouter:err(execution reverted: 0x):cov=43,"{""dest_total"": ""2011401601396526658946242"", ""source_total"": ""11401601396526658946242""}",2000000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,asset_conservation_total_mint_equals_locked,asset,totalMinted == totalLocked - (totalLocked * feeRate / 10000),tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,asset_conservation_user_balance_monotonic,asset,balanceAfter[user] >= balanceBefore[user],tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,asset_conservation_no_overmint,asset,totalMinted <= totalLocked,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,authorization_mint_only_by_router,authorization,msg.sender == routerBSC,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,authorization_lock_only_by_user,authorization,msg.sender == tx.origin && isUser[msg.sender],tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,authorization_process_requires_unprocessed_nonce,authorization,!processed[nonce],tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,authorization_process_requires_valid_signature,authorization,"verifySignature(sig, keccak256(abi.encodePacked(user, amount, nonce))) == true",tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,uniqueness_nonce_processed_once,uniqueness,processedCount[nonce] == 0,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,uniqueness_deposit_id_unique,uniqueness,!depositSeen[depositId],tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,uniqueness_no_replay_of_processed_nonce,uniqueness,processed[nonce] => !refundRequested[nonce],tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,timeliness_refund_allowed_after_timeout,timeliness,block.timestamp >= lockTimestamp[depositId] + timeout,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,timeliness_process_before_timeout,timeliness,block.timestamp < lockTimestamp[depositId] + timeout,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,timeliness_refund_clears_processed,timeliness,refundExecuted[nonce] => processed[nonce] == false,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,timeliness_timeout_positive,timeliness,timeout > 0,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,timeliness_global_pause_prevents_lock,timeliness,!paused,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,asset_conservation_fee_deduction,asset,totalFees == accumulatedFees,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""dest_total"": ""1000000000000000000000"", ""source_total"": ""0""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,authorization_mint_amount_matches_locked,authorization,mintedAmount == lockedAmount[nonce] - (lockedAmount[nonce] * feeRate / 10000),tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
qubit,The reconstruction in contracts/ models the bug across two routers (QBridgeETH + QBridgeBSC) for clarity even though the production deployment kept both legs in a single multi-netw,timeliness_lock_timestamp_recorded,timeliness,lockTimestamp[depositId] == block.timestamp at execution,tx:2:QBridgeETH:err(execution reverted: 0x):cov=36 | tx:5:QBridgeBSC:err(execution reverted: 0x):cov=43,"{""source_total"": ""0"", ""dest_total"": ""1000000000000000000000""}",1000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,asset_conservation_total_minted_equals_locked,asset,mintedTotal == lockedTotal - feeTotal,tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""dest_total"": ""2000001670000000000000"", ""source_total"": ""1670000000000000""}",2000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,asset_conservation_mint_e1_respects_locked_amount,asset,mintAmount_e1 <= lockedAmount[nonce],tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""source_total"": ""1670000000000000"", ""dest_total"": ""2000001670000000000000""}",2000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,asset_conservation_mint_e2_respects_locked_amount,asset,mintAmount_e2 <= lockedAmount[nonce],tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""source_total"": ""1670000000000000"", ""dest_total"": ""2000001670000000000000""}",2000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,asset_conservation_fee_not_exceed_mint,asset,feeAmount <= mintAmount,tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""source_total"": ""1670000000000000"", ""dest_total"": ""2000001670000000000000""}",2000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,authorization_mint_e1_requires_valid_signature,authorization,recovered == legacySigner,tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""source_total"": ""1670000000000000"", ""dest_total"": ""2000001670000000000000""}",2000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,authorization_mint_e1_requires_unused_nonce,authorization,!used[nonce],tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""source_total"": ""1670000000000000"", ""dest_total"": ""2000001670000000000000""}",2000000000000000000000,False,,,
pgala,pNetwork retired the legacy custodian within ~hours of the incident and re-issued GALA under 0x7dDE.... The benchmark models only the original custodian; the re-issuance flow is ou,authorization_mint_e2_requires_custodian_role,authorization,"hasRole(CUSTODIAN_ROLE, msg.sender)",tx:1:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:3:LegacyCustodian:err(execution reverted: 0x):cov=47 | tx:4:LegacyCustodian:err(execution reverted: 0x):cov=47,"{""source_total"": ""1670000000000000"", ""dest_total"": ""2000001670000000000000""}",2000000000000000000000,False,,,
